date,nav,benchmark_nav
2018-01-02,1000000.0,1000000.0
2018-01-03,1000000.0,1006206.6835786003
2018-01-04,1000000.0,1011164.9821433157
2018-01-05,1000000.0,1012968.8686227087
2018-01-08,1000000.0,1018264.0519471522
2018-01-09,1000000.0,1019584.1145694893
2018-01-10,1000000.0,1021953.6568422549
2018-01-11,1000000.0,1023002.2405225774
2018-01-12,1000000.0,1024076.2100225604
2018-01-15,1000000.0,1018565.0979026535
2018-01-16,1000000.0,1026361.829762096
2018-01-17,1000000.0,1028774.0799432312
2018-01-18,1000000.0,1037758.5695060756
2018-01-19,1000000.0,1041673.9588678044
2018-01-22,1000000.0,1045705.227029865
2018-01-23,1000000.0,1059187.4865231162
2018-01-24,1000000.0,1063058.0773795622
2018-01-25,1000000.0,1059725.6658999152
2018-01-26,1000000.0,1062659.0720258423
2018-01-29,1000000.0,1052167.8594019818
2018-01-30,1000000.0,1041717.264089578
2018-01-31,1000000.0,1039574.1035968423
2018-02-01,1000000.0,1029463.6782678867
2018-02-02,1000000.0,1033973.6931230712
2018-02-05,1000000.0,1041564.351858212
2018-02-06,1000000.0,1006667.8095263126
2018-02-07,1000000.0,988332.6772841116
2018-02-08,1000000.0,974233.0943880614
2018-02-09,1000000.0,934750.9770554003
2018-02-12,1000000.0,942000.5698369872
2018-02-13,1000000.0,951209.350582948
2018-02-14,1000000.0,955450.2757497329
2018-02-22,1000000.0,976177.0508606391
2018-02-23,1000000.0,982289.0602647412
2018-02-26,1000226.7737336388,994399.589526229
2018-02-27,992642.3259839369,983198.1712652831
2018-02-28,984420.7465476613,973444.0433816779
2018-03-01,986684.8999427657,977728.87108364
2018-03-02,982100.9554356341,971986.5986764729
2018-03-05,987413.6893460131,972702.7774475962
2018-03-06,987523.1091326026,982473.6301065069
2018-03-07,982804.7852844067,977105.5745468035
2018-03-08,984306.7410414342,982104.4904229755
2018-03-09,1005855.5313277377,987707.2901503617
2018-03-12,1014905.4321116982,993540.9515083059
2018-03-13,1010086.7215315297,988625.0621952581
